DATE,count,Temperature,Visibility,cloud,humidity,Conditions,DJI,Precipitation,Snow,snow_depth,wind_speed,DAY_OF_WEEK,WEEKEND,DAY_OF_MONTH,YEAR,MONTH,UNEMPLOY_RATE,fed_holiday,gov_holiday,nonpub_holiday,reg_holiday,race_label,BCG,BSX,EIX,JHI,MPGSX,STT,TJX,TMO,UNEMPLOY_RATE_7,JHI_7,MPGSX_7,TJX_7,TMO_7,BSX_7,EIX_7,STT_7,BCG_7,count_lag,Temperature_lag,DJI_lag,UNEMPLOY_RATE_lag,Conditions_lag,Precipitation_lag,Snow_lag,JHI_lag,MPGSX_lag,TJX_lag,TMO_lag,JHI_7_lag,MPGSX_7_lag,TJX_7_lag,TMO_7_lag,BCG_7_lag,t
2021-04-01,12,47.1,5.7,95.3,76.29,"Rain, Overcast",33153.21,1.01,0.0,0.0,22.7,4,0,1,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14800.0,38.58000183105469,56.95381546020508,17.209381103515625,13.90999984741211,83.85661315917969,65.25880432128906,455.6493835449219,5.828571428571432,16.890814099993026,13.632857186453682,65.17684718540737,456.47964913504467,38.59714344569615,58.01256506783621,83.84537070138114,14785.714285714286,7.0,49.1,33171.37,5.9,"Rain, Partially cloudy",0.11,0.0,16.83301544189453,13.579999923706055,64.81371307373047,457.9161682128906,16.771183286394393,13.51428576878139,64.51134436471122,452.9874921526228,15021.42857142857,919
2021-04-02,8,34.2,9.9,48.8,43.09,Partially cloudy,33527.19,0.0,0.0,0.0,22.4,5,0,2,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14950.0,39.040000915527344,58.43897247314453,17.199974060058594,14.15999984741211,84.30082702636719,67.01934814453125,464.7264709472656,5.757142857142861,16.95667839050293,13.714285714285714,65.41987609863281,457.23999459402904,38.71428625924246,57.98406982421875,83.8492453438895,14878.57142857143,16.0,47.0,33066.96,5.9,Clear,0.0,0.0,16.861242294311523,13.510000228881836,65.79290008544922,450.8262939453125,16.788657324654714,13.510000092642647,64.79252297537667,452.9104570661272,14835.714285714286,920
2021-04-03,10,39.1,9.9,27.6,37.97,Partially cloudy,33527.19,0.0,0.0,0.0,19.3,6,1,3,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14950.0,39.040000915527344,58.43897247314453,17.199974060058594,14.15999984741211,84.30082702636719,67.01934814453125,464.7264709472656,5.6857142857142895,17.009101050240652,13.797142846243721,65.73496682303292,458.21289498465404,38.77857208251953,57.991468702043804,83.93161337716239,14885.714285714286,12.0,57.1,32981.55,5.9,"Rain, Overcast",0.01,0.0,16.927104949951172,13.680000305175781,65.42694091796875,455.72930908203125,16.81822885785784,13.552857262747628,65.0496804373605,454.4810791015625,14771.42857142857,921
2021-04-04,8,49.1,9.9,11.8,26.46,Clear,33527.19,0.0,0.0,0.0,20.5,7,1,4,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14950.0,39.040000915527344,58.43897247314453,17.199974060058594,14.15999984741211,84.30082702636719,67.01934814453125,464.7264709472656,5.614285714285718,17.061523709978378,13.87999997820173,66.05005754743304,459.18579537527904,38.8428579057966,57.998867579868865,84.01398141043526,14892.857142857143,12.0,47.1,33153.21,5.4,"Rain, Overcast",1.01,0.0,17.209381103515625,13.90999984741211,65.25880432128906,455.6493835449219,16.890814099993026,13.632857186453682,65.17684718540737,456.47964913504467,14785.714285714286,922
2021-04-05,8,52.0,9.9,84.9,29.71,Overcast,33527.19,0.0,0.0,0.0,21.6,1,0,5,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14950.0,39.040000915527344,58.43897247314453,17.199974060058594,14.15999984741211,84.30082702636719,67.01934814453125,464.7264709472656,5.542857142857146,17.1139463697161,13.962857110159737,66.36514827183315,460.15869576590404,38.90714372907366,58.00626645769392,84.09634944370815,14900.0,8.0,34.2,33527.19,5.4,Partially cloudy,0.0,0.0,17.199974060058594,14.15999984741211,67.01934814453125,464.7264709472656,16.95667839050293,13.714285714285714,65.41987609863281,457.23999459402904,14878.57142857143,923
2021-04-06,16,51.4,9.9,84.7,47.43,Overcast,33430.24,0.0,0.0,0.0,14.8,2,0,6,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14750.0,38.95000076293945,58.83957290649414,17.199974060058594,14.149999618530273,83.88623809814453,66.9006576538086,468.0716552734375,5.471428571428575,17.162336621965682,14.054285594395228,66.52339935302734,462.62231881277904,38.90571539742606,58.11514064243862,83.98212541852679,14878.57142857143,10.0,39.1,33527.19,5.4,Partially cloudy,0.0,0.0,17.199974060058594,14.15999984741211,67.01934814453125,464.7264709472656,17.009101050240652,13.797142846243721,65.73496682303292,458.21289498465404,14885.714285714286,924
2021-04-07,12,51.5,9.9,50.8,63.66,Partially cloudy,33446.26,0.0,0.0,0.0,13.6,3,0,7,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14600.0,38.849998474121094,58.58552932739258,17.27524757385254,14.199999809265137,83.6493148803711,67.03911590576172,465.71502685546875,5.400000000000004,17.21207128252302,14.128571237836566,66.7537100655692,464.0488499232701,38.934286390032085,58.30497251238142,84.08506774902344,14850.0,8.0,49.1,33527.19,5.4,Clear,0.0,0.0,17.199974060058594,14.15999984741211,67.01934814453125,464.7264709472656,17.061523709978378,13.87999997820173,66.05005754743304,459.18579537527904,14892.857142857143,925
2021-04-08,10,52.3,9.9,49.1,68.95,Partially cloudy,33503.57,0.0,0.0,0.0,17.0,4,0,8,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14750.0,38.720001220703125,58.94705581665039,17.369335174560547,14.329999923706055,83.32357025146484,68.27545928955078,470.8377380371094,5.400000000000004,17.234921864100865,14.1885712487357,67.18466077532086,466.21861485072543,38.95428630283901,58.589721134730745,84.00891876220703,14842.857142857143,8.0,52.0,33527.19,5.4,Overcast,0.0,0.0,17.199974060058594,14.15999984741211,67.01934814453125,464.7264709472656,17.1139463697161,13.962857110159737,66.36514827183315,460.15869576590404,14900.0,926
2021-04-09,9,51.7,9.9,34.6,70.47,Partially cloudy,33800.6,0.0,0.0,0.0,19.2,5,0,9,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,14750.0,39.31999969482422,58.34125900268555,17.284656524658203,14.460000038146973,85.35704803466797,68.69086456298828,478.1972351074219,5.400000000000004,17.247019359043666,14.23142841884068,67.42344883510044,468.1430097307478,38.99428612845285,58.57576206752232,84.15980747767857,14814.285714285714,16.0,51.4,33430.24,5.4,Overcast,0.0,0.0,17.199974060058594,14.149999618530273,66.9006576538086,468.0716552734375,17.162336621965682,14.054285594395228,66.52339935302734,462.62231881277904,14878.57142857143,927
2021-04-10,4,60.5,9.9,59.8,62.5,Partially cloudy,33745.4,0.0,0.0,0.0,16.0,6,1,10,2021,4,5.4,0.0,0.0,0.0,0.0,ASSAULT,15300.0,39.34000015258789,58.46828079223633,17.341110229492188,14.470000267028809,85.8111343383789,68.76010131835938,475.3013610839844,5.400000000000004,17.267181668962753,14.275714193071638,67.67212785993304,469.6537083217076,39.037143162318635,58.579948970249724,84.37556566510882,14864.285714285714,12.0,51.5,33446.26,5.4,Partially cloudy,0.0,0.0,17.27524757385254,14.199999809265137,67.03911590576172,465.71502685546875,17.21207128252302,14.128571237836566,66.7537100655692,464.0488499232701,14850.0,928
