DATE,count,Temperature,Visibility,Cloud Cover,humidity,Conditions,DJI,Precipitation,Snow,snow_depth,wind_speed,DAY_OF_WEEK,WEEKEND,DAY_OF_MONTH,YEAR,MONTH,UNEMPLOY_RATE,fed_holiday,gov_holiday,nonpub_holiday,reg_holiday,race_label,BCG,BSX,EIX,JHI,MPGSX,STT,TJX,TMO,UNEMPLOY_RATE_7,JHI_7,MPGSX_7,TJX_7,TMO_7,BSX_7,EIX_7,STT_7,BCG_7,count_lag,Temperature_lag,DJI_lag,UNEMPLOY_RATE_lag,Conditions_lag,Precipitation_lag,Snow_lag,JHI_lag,MPGSX_lag,TJX_lag,TMO_lag,JHI_7_lag,MPGSX_7_lag,TJX_7_lag,TMO_7_lag,BCG_7_lag,t
2021-08-15,21,75.2,9.9,49.4,51.67,Partially cloudy,35625.4,0.0,0.0,0.0,12.4,7,1,15,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,16750.0,44.65999984741211,56.03608322143555,18.267967224121094,16.190000534057617,89.46681213378906,70.08828735351562,553.9791259765625,5.0,18.23778097970145,16.128571374075754,70.3514644077846,544.4359741210938,43.97285788399832,55.48964309692383,90.29134804861886,15978.57142857143,6.0,84.6,35499.85,5.0,Partially cloudy,0.0,0.0,18.267967224121094,16.100000381469727,71.28382873535156,541.5399169921875,18.19387354169573,16.115713936941965,69.67199053083148,539.7200491768973,15000.0,1055
2021-08-16,8,71.7,9.9,61.4,64.37,Partially cloudy,35625.4,0.0,0.0,0.0,11.2,1,0,16,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,16750.0,44.65999984741211,56.03608322143555,18.267967224121094,16.190000534057617,89.46681213378906,70.08828735351562,553.9791259765625,5.0,18.25287410191127,16.135714394705637,70.58927590506417,546.3343331473214,44.094286237444194,55.74679183959961,90.2189701625279,16292.857142857143,10.0,82.6,35515.38,5.0,Partially cloudy,0.0,0.0,18.277572631835938,16.149999618530273,70.22776794433594,544.1676635742188,18.20759473528181,16.11428533281599,69.87584141322544,540.6392560686384,15350.0,1056
2021-08-17,6,75.8,9.9,72.1,66.91,Partially cloudy,35343.28,0.0,0.0,0.0,13.7,2,0,17,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,16750.0,45.150001525878906,56.33935546875,18.133501052856445,16.049999237060547,87.56939697265625,68.89275360107422,555.8275146484375,5.0,18.2446414402553,16.131428582327707,70.30177743094308,548.6094970703125,44.451429094587056,55.98577281406948,89.77477264404297,16607.14285714286,10.0,85.5,35625.4,5.0,"Rain, Partially cloudy",0.01,0.0,18.267967224121094,16.190000534057617,70.08828735351562,553.9791259765625,18.22268785749163,16.12142835344587,70.11365291050502,542.537615094866,15664.285714285714,1057
2021-08-18,10,78.6,9.9,85.3,62.62,Overcast,34960.69,0.0,0.0,0.0,13.8,3,0,18,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,16050.0,44.09000015258789,57.298072814941406,18.191129684448242,15.890000343322754,86.77466583251953,72.72843170166016,544.1876220703125,5.0,18.239153180803573,16.10857159750802,70.48537772042411,549.6657278878348,44.51714324951172,56.18562262398856,89.11344255719867,16528.571428571428,21.0,75.2,35625.4,5.0,Partially cloudy,0.0,0.0,18.267967224121094,16.190000534057617,70.08828735351562,553.9791259765625,18.23778097970145,16.128571374075754,70.3514644077846,544.4359741210938,15978.57142857143,1058
2021-08-19,5,77.5,8.7,92.0,80.66,"Rain, Overcast",34894.12,0.98,0.0,0.0,20.6,4,0,19,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,17150.0,44.27000045776367,56.93610763549805,18.239152908325195,15.970000267028809,84.93685150146484,73.31623077392578,551.4013671875,5.0,18.235036849975586,16.09000015258789,70.77572086879185,551.0745064871652,44.545714787074495,56.34913580758231,88.26762281145368,16657.14285714286,8.0,71.7,35625.4,5.0,Partially cloudy,0.0,0.0,18.267967224121094,16.190000534057617,70.08828735351562,553.9791259765625,18.25287410191127,16.135714394705637,70.58927590506417,546.3343331473214,16292.857142857143,1059
2021-08-20,5,76.3,8.6,95.3,82.81,"Rain, Overcast",35120.08,0.05,0.0,0.0,10.2,5,0,20,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,17100.0,44.439998626708984,58.23722457885742,18.104686737060547,16.149999618530273,85.52295684814453,73.76456451416016,554.5186157226562,5.0,18.210338865007675,16.09000015258789,71.28097752162388,552.5532139369419,44.561428615025115,56.702715737479075,87.60061536516461,16757.14285714286,6.0,75.8,35343.28,5.0,Partially cloudy,0.0,0.0,18.133501052856445,16.049999237060547,68.89275360107422,555.8275146484375,18.2446414402553,16.131428582327707,70.30177743094308,548.6094970703125,16607.14285714286,1060
2021-08-21,9,76.6,9.5,78.7,82.64,Overcast,35335.71,0.0,0.0,0.0,14.8,6,1,21,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,17000.0,43.9900016784668,57.87525939941406,18.152711868286133,16.350000381469727,87.53959655761719,74.85050201416016,552.1306762695312,5.0,18.193873814174108,16.112857273646764,71.96129390171596,552.2891496930804,44.465714590890066,56.965455191476,87.32529885428292,16792.85714285714,10.0,78.6,34960.69,5.0,Overcast,0.0,0.0,18.191129684448242,15.890000343322754,72.72843170166016,544.1876220703125,18.239153180803573,16.10857159750802,70.48537772042411,549.6657278878348,16528.571428571428,1061
2021-08-22,10,72.4,2.9,94.5,90.08,"Rain, Overcast",35335.71,0.38,0.0,0.0,25.1,7,1,22,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,17000.0,43.9900016784668,57.87525939941406,18.152711868286133,16.350000381469727,87.53959655761719,74.85050201416016,552.1306762695312,5.0,18.17740876334054,16.135714394705637,72.64161028180804,552.0250854492188,44.370000566755024,57.22819464547293,87.04998234340123,16828.571428571428,5.0,77.5,34894.12,5.0,"Rain, Overcast",0.98,0.0,18.239152908325195,15.970000267028809,73.31623077392578,551.4013671875,18.235036849975586,16.09000015258789,70.77572086879185,551.0745064871652,16657.14285714286,1062
2021-08-23,7,72.4,4.5,90.1,89.41,"Rain, Overcast",35335.71,0.97,0.0,0.0,13.8,1,0,23,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,17000.0,43.9900016784668,57.87525939941406,18.152711868286133,16.350000381469727,87.53959655761719,74.85050201416016,552.1306762695312,5.0,18.160943712506974,16.15857151576451,73.32192666190011,551.7610212053571,44.274286542619976,57.49093409946987,86.77466583251953,16864.285714285714,5.0,76.3,35120.08,5.0,"Rain, Overcast",0.05,0.0,18.104686737060547,16.149999618530273,73.76456451416016,554.5186157226562,18.210338865007675,16.09000015258789,71.28097752162388,552.5532139369419,16757.14285714286,1063
2021-08-24,11,79.5,7.9,76.3,73.37,"Rain, Overcast",35366.26,0.48,0.0,0.0,14.8,2,0,24,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,15900.0,44.849998474121094,57.669822692871094,18.123897552490234,16.3799991607666,88.98004150390625,75.02983856201172,550.0125122070312,5.0,18.15957178388323,16.20571436200823,74.19865308489118,550.9303065708706,44.231428963797434,57.68100084577288,86.97618647984096,16742.85714285714,9.0,76.6,35335.71,5.0,Overcast,0.0,0.0,18.152711868286133,16.350000381469727,74.85050201416016,552.1306762695312,18.193873814174108,16.112857273646764,71.96129390171596,552.2891496930804,16792.85714285714,1064
